Time,V(OUT1),
0.00146,0.11079449300891935,
0.00147,0.2710047594586901,
0.00148,0.4315928349789992,
0.00149,0.5918216239310491,
0.0015,0.7509503213436912,
0.00151,0.9082388743427313,
0.00152,1.0629524541796018,
0.00153,1.2143659088024286,
0.00154,1.3617681660107694,
0.00155,1.5044665575419167,
0.00156,1.641791034949704,
0.00157,1.7730982488524685,
0.00158,1.8977754640405071,
0.00159,2.0152442840385256,
0.0016,2.124964160007584,
0.00161,2.2264356603349484,
0.00162,2.319203478888819,
0.00163,2.4028591616968016,
0.00164,2.4770435337297103,
0.00165,2.5414488095225773,
0.00166,2.5958203735280425,
0.00167,2.6399582183586947,
0.00168,2.673718031418536,
0.00169,2.697011922833141,
0.0017,2.709808790046517,
0.00171,2.712134316942883,
0.00172,2.704070607856179,
0.00173,2.6857554593316437,
0.00174,2.657381274984631,
0.00175,2.6191936312448303,
0.00176,2.5714895041619057,
0.00177,2.5146151697648333,
0.00178,2.4489637926954915,
0.00179,2.3749727199619284,
0.0018,2.2931204986633325,
0.00181,2.20392363841298,
0.00182,2.107933140914417,
0.00183,2.0057308207176496,
0.00184,1.8979254425852834,
0.00185,1.7851487021237178,
0.00186,1.6680510773729473,
0.00187,1.5472975798932942,
0.00188,1.4235634345324308,
0.00189,1.297529717497297,
0.0019,1.1698789825893774,
0.00191,1.0412909054875181,
0.00192,0.9124379757792507,
0.00193,0.7839812660513767,
0.00194,0.6565663067559018,
0.00195,0.5308190947726671,
0.00196,0.4073422626010648,
0.00197,0.28671143393684345,
0.00198,0.16947179003472446,
0.00199,0.05613486973307945,
0.002,-0.05282437566602775,
0.00201,-0.15697025329767728,
0.00202,-0.2559087080150556,
0.00203,-0.349289394732447,
0.00204,-0.4368074306998228,
0.00205,-0.5182048168556056,
0.00206,-0.5932715197546448,
0.00207,-0.6618462079755875,
0.00208,-0.7238166393588011,
0.00209,-0.7791196978953479,
0.0021,-0.8277410815621722,
0.00211,-0.8697146448605945,
0.00212,-0.9051214022477283,
0.00213,-0.934088201035861,
0.00214,-0.9567860746567264,
0.00215,-0.9734282894293682,
0.00216,-0.9842681001162744,
0.00217,-0.9895962315876747,
0.00218,-0.9897381058236593,
0.00219,-0.9850508352552233,
0.0022,-0.9759200050655022,
0.00221,-0.9627562685303677,
0.00222,-0.9459917807627503,
0.00223,-0.9260764973287676,
0.00224,-0.9034743651179711,
0.00225,-0.8786594335688319,
0.00226,-0.8521119148685296,
0.00227,-0.8243142220600465,
0.00228,-0.7957470140971037,
0.00229,-0.7668852767881195,
0.0023,-0.7381944682648323,
0.00231,-0.7101267571019352,
0.00232,-0.6831173805044368,
0.00233,-0.6575811490750691,
0.00234,-0.6339091235809092,
0.00235,-0.6124654878646975,
0.00236,-0.5935846406010856,
0.00237,-0.5775685269914951,
0.00238,-0.5646842297350296,
0.00239,-0.5551618367193474,
0.0024,-0.549192600858196,
0.00241,-0.5469274053756168,
0.00242,-0.5484755456160498,
0.00243,-0.5539038361601866,
0.00244,-0.5632360496651483,
0.00245,-0.5764526914408644,
0.00246,-0.5934911113397655,
