Time,V(NODE1),
0.00668,-0.6400000000000006,
0.00669,-0.6200000000000028,
0.0067,-0.6000000000000014,
0.00671,-0.5800000000000001,
0.00672,-0.5600000000000005,
0.00673,-0.5400000000000009,
0.00674,-0.5199999999999996,
0.00675,-0.5,
0.00676,-0.4800000000000004,
0.00677,-0.46000000000000085,
0.00678,-0.4400000000000013,
0.00679,-0.4200000000000017,
0.0068,-0.40000000000000213,
0.00681,-0.3800000000000008,
0.00682,-0.360000000000003,
0.00683,-0.34000000000000163,
0.00684,-0.3200000000000003,
0.00685,-0.29999999999999893,
0.00686,-0.28000000000000114,
0.00687,-0.2599999999999998,
0.00688,-0.2400000000000002,
0.00689,-0.22000000000000064,
0.0069,-0.20000000000000107,
0.00691,-0.17999999999999972,
0.00692,-0.16000000000000192,
0.00693,-0.14000000000000057,
0.00694,-0.120000000000001,
0.00695,-0.1000000000000032,
0.00696,-0.08000000000000185,
0.00697,-0.0600000000000005,
0.00698,-0.03999999999999915,
0.00699,-0.02000000000000135,
0.007,0,
0.00701,0.019999999999999574,
0.00702,0.03999999999999915,
0.00703,0.05999999999999872,
0.00704,0.08000000000000007,
0.00705,0.09999999999999787,
0.00706,0.11999999999999922,
0.00707,0.1399999999999988,
0.00708,0.15999999999999837,
0.00709,0.17999999999999972,
0.0071,0.1999999999999993,
0.00711,0.22000000000000064,
0.00712,0.23999999999999844,
0.00713,0.2599999999999998,
0.00714,0.2799999999999976,
0.00715,0.29999999999999893,
0.00716,0.3199999999999985,
0.00717,0.33999999999999986,
0.00718,0.35999999999999766,
0.00719,0.379999999999999,
0.0072,0.3999999999999986,
0.00721,0.41999999999999815,
0.00722,0.4399999999999995,
0.00723,0.46000000000000085,
0.00724,0.4800000000000004,
0.00725,0.5,
0.00726,0.5199999999999996,
0.00727,0.5400000000000009,
0.00728,0.5599999999999987,
0.00729,0.5799999999999983,
0.0073,0.5999999999999996,
0.00731,0.6199999999999974,
0.00732,0.6399999999999988,
0.00733,0.6599999999999966,
0.00734,0.6799999999999979,
0.00735,0.6999999999999993,
0.00736,0.7200000000000006,
0.00737,0.7399999999999984,
0.00738,0.7599999999999998,
0.00739,0.7799999999999994,
0.0074,0.8000000000000007,
0.00741,0.8199999999999985,
0.00742,0.8399999999999999,
0.00743,0.8599999999999977,
0.00744,0.879999999999999,
0.00745,0.8999999999999986,
0.00746,0.9199999999999999,
0.00747,0.9399999999999995,
0.00748,0.9599999999999991,
0.00749,0.9800000000000004,
0.0075,0.9999999999999982,
0.00751,1.0199999999999996,
0.00752,1.0399999999999991,
