Time,V(OUT1),V(NODE4),
0.00223,-1.1534760974493754,-1.08,
0.00224,-1.1267735410897606,-1.040000000000001,
0.00225,-1.0635373223770068,-1.0000000000000018,
0.00226,-0.9756914320092905,-0.9600000000000009,
0.00227,-0.8844227172091544,-0.9200000000000017,
0.00228,-0.811107852889988,-0.8800000000000008,
0.00229,-0.768663784977039,-0.8400000000000016,
0.0023,-0.7567307656682118,-0.8000000000000007,
0.00231,-0.7624195389363215,-0.7599999999999998,
0.00232,-0.7660732283041705,-0.7200000000000006,
0.00233,-0.7495271897876079,-0.6800000000000015,
0.00234,-0.7034558404052962,-0.6400000000000006,
0.00235,-0.6308862155098677,-0.5999999999999996,
0.00236,-0.5455917666722134,-0.5600000000000005,
0.00237,-0.4661729889274886,-0.5199999999999996,
0.00238,-0.4083397367746604,-0.4800000000000004,
0.00239,-0.3785653341665443,-0.4399999999999995,
0.0024,-0.37165121121391337,-0.40000000000000036,
0.00241,-0.37310554667929907,-0.3600000000000012,
0.00242,-0.3652758772157234,-0.32000000000000206,
0.00243,-0.3346764286292276,-0.28000000000000114,
0.00244,-0.2775086604378843,-0.2400000000000002,
0.00245,-0.2011486355320188,-0.20000000000000107,
0.00246,-0.12103838643743571,-0.16000000000000192,
0.00247,-0.05429005751134733,-0.120000000000001,
0.00248,-0.012635363496977626,-0.08000000000000007,
0.00249,0.0023996388547245064,-0.040000000000000924,
0.0025,0.00013494448115351993,0,
0.00251,-0.0030575787225272898,0.03999999999999915,
0.00252,0.009572149759827318,0.08000000000000007,
0.00253,0.048324329914450646,0.11999999999999922,
0.00254,0.11285455023913672,0.16000000000000014,
0.00255,0.19233041671487763,0.20000000000000107,
0.00256,0.26988703565988326,0.2400000000000002,
0.00257,0.3295734747953131,0.2799999999999976,
0.00258,0.36295443962910184,0.3199999999999985,
0.00259,0.37265273659843057,0.35999999999999766,
0.0026,0.3713479830021518,0.3999999999999986,
0.00261,0.37659536747343136,0.4399999999999995,
0.00262,0.40354937632272947,0.4800000000000004,
0.00263,0.45856854206286407,0.5199999999999996,
0.00264,0.536363204589251,0.5599999999999987,
0.00265,0.6219375388005978,0.5999999999999996,
0.00266,0.696625636542801,0.6399999999999988,
0.00267,0.7458153902622917,0.6800000000000015,
0.00268,0.7651959212396342,0.7200000000000006,
0.00269,0.7628872698097113,0.7599999999999998,
0.0027,0.7564351175129352,0.8000000000000007,
0.00271,0.7657458495996003,0.8399999999999999,
0.00272,0.8047569128624306,0.879999999999999,
0.00273,0.8752683425668607,0.9199999999999999,
0.00274,0.9656064275349909,0.9599999999999991,
0.00275,1.0549050574166532,0.9999999999999982,
0.00276,1.1214981695572923,1.0399999999999991,
0.00277,1.1521356684381172,1.0799999999999983,
0.00278,1.1482150920779153,1.1199999999999974,
0.00279,1.1262359291664699,1.1599999999999984,
0.0028,1.1119003518881458,1.1999999999999993,
0.00281,1.1298702609334443,1.2400000000000002,
0.00282,1.1931213954313271,1.2799999999999994,
0.00283,1.2962928108146277,1.3199999999999985,
0.00284,1.4161372268172387,1.3599999999999994,
0.00285,1.5195358267019918,1.3999999999999986,
0.00286,1.5765079253578456,1.4400000000000013,
0.00287,1.5733918597243606,1.4800000000000004,
0.00288,1.5208382617668506,1.5199999999999996,
0.00289,1.452774248783608,1.5600000000000005,
0.0029,1.4156333706721373,1.5999999999999979,
0.00291,1.4508238115659748,1.639999999999997,
0.00292,1.5762777644021266,1.6799999999999997,
0.00293,1.7738602791197813,1.7199999999999989,
0.00294,1.9879400540434375,1.7599999999999998,
0.00295,2.136920032833007,1.799999999999999,
0.00296,2.135131889374535,1.839999999999998,
0.00297,1.9187297356221722,1.879999999999999,
0.00298,1.467431598092171,1.9199999999999982,
0.00299,0.8148607578107735,1.9600000000000009,
0.003,0.04362145739226848,-2,
0.00301,-0.7339752056883643,-1.9600000000000009,
0.00302,-1.4040261270464531,-1.92,
0.00303,-1.8796249103786224,-1.8800000000000008,
0.00304,-2.1214043787164942,-1.8400000000000016,
0.00305,-2.1441161763758716,-1.799999999999999,
0.00306,-2.0078072707875134,-1.7600000000000016,
0.00307,-1.7969931523711236,-1.7200000000000024,
0.00308,-1.5948209823812858,-1.6800000000000015,
0.00309,-1.4604079181941647,-1.6400000000000023,
0.0031,-1.4160189777828354,-1.6000000000000014,
0.00311,-1.447134034151462,-1.5600000000000005,
0.00312,-1.5140537944946326,-1.5199999999999996,
0.00313,-1.5700332143938964,-1.4800000000000004,
0.00314,-1.5792085036320684,-1.4400000000000013,
0.00315,-1.5282730468957508,-1.4000000000000004,
0.00316,-1.4285678025437765,-1.3600000000000012,
0.00317,-1.3089066154347622,-1.320000000000002,
0.00318,-1.202707841062279,-1.2799999999999994,
0.00319,-1.1347240825882015,-1.2400000000000002,
0.0032,-1.1123397460201285,-1.1999999999999993,
0.00321,-1.124297383396284,-1.1600000000000001,
0.00322,-1.1467091690655145,-1.120000000000001,
0.00323,-1.153476097449376,-1.08,
0.00324,-1.1267735410897628,-1.040000000000001,
0.00325,-1.063537322377009,-1.0000000000000018,
0.00326,-0.975691432009293,-0.9600000000000009,
0.00327,-0.8844227172091516,-0.9200000000000017,
0.00328,-0.8111078528899857,-0.8800000000000026,
0.00329,-0.7686637849770415,-0.8400000000000016,
0.0033,-0.7567307656682092,-0.8000000000000007,
0.00331,-0.7624195389363208,-0.7599999999999998,
