Time,V(NODE2),
0.00197,1.88,
0.00198,1.919999999999999,
0.00199,1.959999999999999,
0.002,-2,
0.00201,-1.9600000000000009,
0.00202,-1.92,
0.00203,-1.879999999999999,
0.00204,-1.8399999999999999,
0.00205,-1.8000000000000007,
0.00206,-1.7599999999999998,
0.00207,-1.7200000000000024,
0.00208,-1.6800000000000015,
0.00209,-1.6400000000000006,
0.0021,-1.6000000000000014,
0.00211,-1.5600000000000005,
0.00212,-1.5199999999999996,
0.00213,-1.4800000000000004,
0.00214,-1.4400000000000013,
0.00215,-1.4000000000000004,
0.00216,-1.3599999999999994,
0.00217,-1.3200000000000003,
0.00218,-1.2800000000000011,
0.00219,-1.2400000000000002,
0.0022,-1.1999999999999993,
0.00221,-1.1600000000000001,
0.00222,-1.1199999999999992,
0.00223,-1.08,
